GROWTH STAGE,Week,Contrast,Correlation,Energy,Homogeneity,Entropy,Variance_H4,Info_meas_corr2_H13,Info_meas_corr1_H12,Biomass Area
Vegetative,1,0.02475,0.8999,0.98675,0.99835,0.0927,1.1451,0.3134,-0.809,360550
Vegetative,1,0.0537,0.8501,0.9777,0.99645,0.1438,1.2294,0.3689,-0.7564,206090
Vegetative,1,0.03415,0.8945,0.98285,0.99755,0.1144,1.1978,0.3404,-0.7835,17141
Vegetative,1,0.018,0.92895,0.98835,0.99875,0.0842,1.1456,0.3075,-0.8463,18208
Vegetative,1,0.005,0.97955,0.9912,0.9995,0.0687,1.1359,0.2905,-0.9195,33800
Vegetative,1,0.0124,0.9589,0.9888,0.99905,0.0833,1.1748,0.3091,-0.8686,22734
Vegetative,1,0.00855,0.48875,0.99035,0.9994,0.0737,1.1627,0.2975,-0.9018,31016
Vegetative,1,0.00615,0.9821,0.98855,0.99935,0.0881,1.2004,0.3255,-0.9202,28416
Vegetative,1,0.0039,0.95955,0.99645,0.9997,0.0294,1.0353,0.1951,-0.9116,18095
Vegetative,1,0.0053,0.965,0.9945,0.9996,0.0446,1.0728,0.2366,-0.9017,17898
Vegetative,1,0.0054,0.98245,0.98975,0.99935,0.0785,1.1781,0.308,-0.913,33800
Vegetative,1,0.01005,0.93865,0.9936,0.9993,0.0481,1.0806,0.2364,-0.8423,42894
Vegetative,1,0.06785,0.857,0.9715,0.9955,0.1799,1.313,0.4072,-0.7566,39794
Vegetative,1,0.04885,0.81055,0.98395,0.99705,0.1002,1.1541,0.3075,-0.725,18534
Vegetative,1,0.02445,0.91985,0.98765,0.9985,0.0873,1.1785,0.3095,-0.8251,18416
Vegetative,1,0.07375,0.8627,0.96695,0.99535,0.2083,1.3603,0.4365,-0.7662,20851
Vegetative,1,0.06195,0.91725,0.96285,0.9956,0.2443,1.5027,0.4797,-0.8112,18208
Vegetative,1,0.00355,0.9495,0.9974,0.9998,0.022,1.0169,0.1692,-0.9059,33800
Vegetative,1,0.05,0.66405,0.98695,0.99715,0.0771,1.0808,0.2613,-0.6644,22734
Vegetative,1,0.07335,0.84115,0.96815,0.9949,0.1967,1.3114,0.4204,-0.7487,36416
Vegetative,1,0.0255,0.83005,0.99165,0.99855,0.0551,1.0747,0.2372,-0.7473,48561
Vegetative,1,0.0209,0.8533,0.9925,0.99865,0.0502,1.0686,0.2287,-0.7571,47900
Vegetative,1,0.00625,0.90455,0.9968,0.99955,0.0248,1.0147,0.1721,-0.8356,46994
Vegetative,1,0.02405,0.63135,0.99405,0.99855,0.0355,1.0178,0.1764,-0.6265,40194
Vegetative,1,0.02435,0.84995,0.99015,0.99835,0.0667,1.0853,0.2638,-0.7688,19634
Vegetative,1,0.00855,0.932,0.9947,0.9994,0.041,1.0557,0.2201,-0.8504,29816
Vegetative,1,0.02,0.9127,0.99065,0.99875,0.0657,1.1253,0.2694,-0.8133,19816
Vegetative,1,0.07235,0.81955,0.97545,0.99535,0.1512,1.2565,0.368,-0.7114,21511
Vegetative,1,0.09865,0.8222,0.9627,0.9939,0.2274,1.3792,0.4476,-0.7463,19023.36
Vegetative,1,0.00125,0.96925,0.9984,0.9999,0.0139,0.9966,0.1377,-0.9278,16740.56
Vegetative,2,0.0045,0.96665,0.9823,0.99955,0.0557,1.0668,0.2629,0.9159,37328
Vegetative,2,0.00385,0.98075,0.9918,0.9995,0.0638,1.1089,0.2806,-0.9169,23700
Vegetative,2,0.00375,0.9714,0.99295,0.99955,0.0547,1.0632,0.2627,-0.929,22766
Vegetative,2,0.003,0.9792,0.9911,0.99955,0.0671,1.0765,0.2877,-0.9297,70054
Vegetative,2,0.0072,0.9702,0.98635,0.9991,0.098,1.1464,0.3388,-0.9067,73243
Vegetative,2,0.00555,0.9841,0.98705,0.99935,0.0967,1.2101,0.3379,-0.9265,83790
Vegetative,2,0.0028,0.9813,0.9875,0.99965,0.0635,1.0772,0.2819,-0.9443,80438
Vegetative,2,0.0043,0.98275,0.98745,0.9994,0.094,1.1483,0.3349,-0.9332,74573
Vegetative,2,0.0063,0.98105,0.9791,0.9989,0.1431,1.2171,0.4004,-0.9161,21855
Vegetative,2,0.0051,0.98345,0.98415,0.9991,0.1172,1.1924,0.3677,0.9171,21418
Vegetative,2,0.0034,0.97095,0.9928,0.9995,0.0563,1.0545,0.2635,-0.9076,34715
Vegetative,2,0.00103,0.9743,0.998,0.99985,0.0166,0.9973,0.1499,-0.9206,64454
Vegetative,2,0.01295,0.9767,0.96735,0.99805,0.2236,1.3826,0.4809,-0.9026,20856
Vegetative,2,0.0063,0.9867,0.97415,0.9987,0.1769,1.3174,0.4397,-0.9235,29198
Vegetative,2,0.00445,0.9834,0.9874,0.99945,0.092,1.1605,0.3326,-0.9342,37776
Vegetative,2,0.00075,0.97945,0.9981,0.9999,0.0159,0.9952,0.1468,-0.9368,29465
Vegetative,2,0.00405,0.98395,0.9874,0.9994,0.0939,1.1505,0.3364,-0.9346,17047
Vegetative,2,0.0023,0.9629,0.9959,0.9998,0.0322,1.0161,0.2029,-0.919,35038
Vegetative,2,0.00205,0.9666,0.99775,0.9998,0.019,1.0106,0.1593,-0.9172,32585
Vegetative,2,0.0045,0.973,0.9896,0.9994,0.0807,1.0923,0.3122,-0.92,72897
Vegetative,2,0.00525,0.96855,0.9929,0.9996,0.0551,1.0852,0.2609,-0.9137,20763
Vegetative,2,0.0017,0.97305,0.9959,0.9998,0.0319,1.0156,0.2025,-0.9341,20347
Vegetative,2,0.003,0.98125,0.9929,0.9996,0.0548,1.0822,0.2633,-0.9306,32979
Vegetative,2,0.0015,0.9824,0.99455,0.9998,0.042,1.0322,0.2321,-0.9369,61231
Vegetative,2,0.0013,0.97215,0.9972,0.9998,0.023,1.0033,0.1733,-0.9137,33111
Vegetative,2,0.0035,0.96755,0.99515,0.9997,0.0401,1.0441,0.226,-0.9146,33442
Vegetative,2,0.0036,0.9743,0.99235,0.9996,0.0583,1.071,0.2686,-0.9236,70786
Vegetative,2,0.01025,0.97225,0.9795,0.9989,0.1506,1.2386,0.4111,-0.9123,69370
Vegetative,2,0.00345,0.94875,0.9965,0.9997,0.0279,1.0171,0.1855,-0.873,58965
Vegetative,2,0.0047,0.982,0.99075,0.99945,0.0709,1.1478,0.294,-0.918,51299
Head development,3,0.04185,0.943,0.9133,0.99245,0.5312,1.5854,0.6534,-0.847,4.05E+05
Head development,3,0.1226,0.9535,0.89235,0.99255,0.6617,2.8801,0.8689,-0.8689,1.13E+05
Head development,3,0.07515,0.97105,0.83705,0.99025,1.0039,3.0304,0.806,-0.8834,1.35E+05
Head development,3,0.12135,0.9638,0.8357,0.9895,0.0138,3.5174,0.8143,-0.8851,63264
Head development,3,0.0271,0.9856,0.8514,0.9932,0.9129,2.5141,0.7884,-0.9059,1.11E+05
Head development,3,0.0386,0.89275,0.8952,0.9871,1.2001,2.7887,0.8392,-0.8772,4.00E+05
Head development,3,0.04515,0.97815,0.8069,0.9857,1.1789,2.7338,0.8337,-0.8679,1.83E+05
Head development,3,0.0775,0.97695,0.7236,0.9867,1.6706,3.9096,0.9006,-0.8858,4.39E+05
Head development,3,0.0735,0.97265,0.78465,0.98655,1.3231,3.1959,0.8592,-0.8627,3.51E+05
Head development,3,0.14845,0.9651,0.7266,0.98415,1.6837,4.4883,0.9044,-0.8756,2.00E+05
Head development,3,0.1102,0.97635,0.73595,0.98445,1.6185,4.7705,0.8957,-0.8702,5.79E+05
Head development,3,0.08915,0.9805,0.73055,0.9841,1.644,4.7421,0.8981,-0.8756,2.08E+05
Head development,3,0.0714,0.9653,0.8025,0.98635,1.1981,2.7232,0.8329,-0.8475,6.96E+05
Head development,3,0.04745,0.9758,0.858,0.9917,0.8793,2.5409,0.7764,-0.8789,2.69E+05
Head development,3,0.12405,0.96765,0.79195,0.9856,1.2961,3.9717,0.8599,-0.8715,1.41E+05
Head development,3,0.0821,0.9753,0.754,0.98695,1.5031,3.7547,0.8848,-0.8801,2.51E+05
Head development,3,0.17665,0.95865,0.73995,0.9833,1.6034,4.3982,0.8978,-0.8716,2.19E+05
Head development,3,0.02675,0.98085,0.8482,0.9935,0.9272,2.1794,0.7919,-0.9062,2.11E+05
Head development,3,0.02945,0.98015,0.8406,0.99285,0.9702,2.257,0.8007,-0.9049,3.11E+05
Head development,3,0.0749,0.97615,0.73585,0.9867,1.6014,3.69,0.8937,-0.8845,1.79E+05
Head development,3,0.06865,0.97665,0.7399,0.9867,1.5453,3.5772,0.883,-0.8822,80720
Head development,3,0.0419,0.9734,0.84755,0.9916,0.9324,2.301,0.7906,-0.8893,1.46E+05
Head development,3,0.04315,0.9766,0.8421,0.9911,0.9707,2.4986,0.7976,-0.8848,2.90E+05
Head development,3,0.1213,0.96815,0.7803,0.985,1.36,3.9949,0.8682,-0.8721,1.30E+05
Head development,3,0.1174,0.969,0.7793,0.9851,1.366,3.9839,0.8687,-0.8731,2.87E+05
Head development,3,0.05305,0.9785,0.8317,0.9919,1.0359,2.9572,0.8178,-0.9049,1.21E+05
Head development,3,0.047,0.9812,0.82675,0.9901,1.0613,3.0035,0.8163,-0.886,37792
Head development,3,0.04485,0.981,0.81165,0.9902,1.1418,2.9486,0.8289,-0.8854,35469
Head development,3,0.02995,0.986,0.84625,0.9935,0.9679,2.6893,0.8078,-0.9141,1.95E+05
Head development,5,0.0347,0.9831,0.8425,0.99085,0.9786,2.6444,0.8013,-0.8868,2.13E+05
Head development,4,0.06105,0.9637,0.90945,0.99225,0.5891,2.2176,0.6827,-0.8509,1.15E+06
Head development,4,0.04545,0.88315,0.95885,0.99415,0.2635,1.2801,0.4815,-0.7669,3.35E+05
Head development,4,0.057,0.9317,0.91655,0.9932,0.5188,1.6495,0.6472,-0.8423,1.08E+06
Head development,4,0.0691,0.92465,0.93425,0.99135,0.4231,1.6678,0.59,-0.7924,8.80E+05
Head development,4,0.08875,0.9299,0.91075,0.9899,0.5617,1.9398,0.657,-0.8004,3.80E+05
Head development,4,0.03755,0.94265,0.9632,0.99705,0.2456,1.4411,0.4958,-0.8664,3.14E+05
Head development,4,0.0252,0.92405,0.9723,0.9973,0.1863,1.2237,0.4339,-0.8394,1.49E+06
Head development,4,0.07525,0.95685,0.9103,0.9937,0.5712,2.2532,0.6805,-0.8702,4.51E+05
Head development,4,0.0265,0.9561,0.9574,0.99665,0.2858,1.4252,0.5257,-0.8688,2.59E+05
Head development,4,0.04725,0.9462,0.94805,0.99575,0.3444,1.6171,0.5641,-0.8597,1.87E+06
Head development,4,0.07495,0.952,0.9181,0.99145,0.5344,2.1171,0.6569,-0.8367,3.12E+05
Head development,4,0.09915,0.83935,0.9509,0.99145,0.308,1.4403,0.5026,-0.7287,3.22E+05
Head development,4,0.0608,0.91475,0.9549,0.99455,0.2998,1.4947,0.5222,-0.8084,1.18E+06
Head development,4,0.11335,0.90515,0.93315,0.9909,0.4156,1.8442,0.5804,-0.7725,1.12E+06
Head development,4,0.064,0.9034,0.9419,0.9918,0.3744,1.4842,0.5574,-0.7705,9.65E+05
Head development,4,0.01085,0.96785,0.98075,0.9898,0.1385,1.2157,0.3945,-0.9112,3.40E+05
Head development,4,0.0666,0.92505,0.9326,0.9905,0.436,1.6536,0.5947,-0.7873,1.45E+06
Head development,4,0.56025,0.8905,0.74685,0.9746,1.3095,5.0838,0.8135,-0.7825,3.81E+05
Head development,4,0.0158,0.97,0.97275,0.9987,0.1892,1.3506,0.4516,-0.9151,1.44E+06
Head development,4,0.03895,0.9509,0.93055,0.99245,0.4606,1.5974,0.62,-0.8315,8.52E+05
Head development,4,0.03255,0.87605,0.9757,0.996,0.1612,1.1712,0.387,-0.7437,44683
Head development,4,0.00745,0.948,0.99225,0.99945,0.0591,1.0723,0.2686,-0.9021,3.12E+05
Head development,4,0.0088,0.9759,0.98015,0.99915,0.1453,1.2346,0.4083,-0.9302,2.03E+05
Head development,4,0.02475,0.954,0.97265,0.99755,0.1867,1.3521,0.4398,-0.8572,69447
